idx	char
2438	間
2439	閨
2440	關
2441	门
2442	闪
2443	闭
2444	问
2445	闲
2446	间
2447	闷
2448	闹
2449	闻
2450	阁
2451	阅
2452	队
2453	阱
2454	防
2455	阳
2456	阴
2457	阵
2458	阶
2459	阻
2460	阿
2461	陆
2462	陋
2463	陌
2464	降
2465	限
2466	院
2467	除
2468	险
2469	陪
2470	陰
2471	陲
2472	陵
2473	陷
2474	陽
2475	隆
2476	随
2477	隐
2478	隔
2479	障
2480	隧
2481	險
2482	隱
2483	隶
2484	隸
2485	难
2486	雀
2487	雁
2488	雄
2489	雅
2490	集
2491	雏
2492	雕
2493	雜
2494	難
2495	雨
2496	雪
2497	零
2498	雷
2499	雾
2500	需
2501	震
2502	霍
2503	霓
2504	霜
2505	霧
2506	露
2507	霸
2508	霾
2509	青
2510	靓
2511	静
2512	靜
2513	非
2514	靠
2515	面
2516	鞋
2517	鞠
2518	韩
2519	音
2520	韵
2521	韻
2522	頂
2523	頃
2524	頭
2525	題
2526	顏
2527	页
2528	顶
2529	项
2530	顺
2531	须
2532	顽
2533	顾
2534	颁
2535	预
2536	领
2537	颊
2538	颐
2539	频
2540	颓
2541	颗
2542	题
2543	颜
2544	颠
2545	風
2546	风
2547	飘
2548	飙
2549	飛
2550	飞
2551	食
2552	餐
2553	饥
2554	饭
2555	饮
2556	饰
2557	饱
2558	饶
2559	饺
2560	饼
2561	饿
2562	馆
2563	首
2564	香
2565	馨
2566	驚
2567	马
2568	驭
2569	驯
2570	驳
2571	驴
2572	驾
2573	骂
2574	骄
2575	骑
2576	骚
2577	骤
2578	骨
2579	骷
2580	髅
2581	高
2582	鬓
2583	鬼
2584	魂
2585	魄
2586	魅
2587	魏
2588	魔
2589	鮮
2590	鱗
2591	鱼
2592	鲁
2593	鲜
2594	鲤
2595	鳅
2596	鳖
2597	鴿
2598	鸟
2599	鸠
2600	鸢
2601	鸣
2602	鸥
2603	鸦
2604	鸽
2605	鹅
2606	鹰
2607	鹿
2608	麦
2609	麻
2610	麼
2611	黃
2612	黄
2613	黎
2614	黏
2615	黑
2616	默
